Year,Area of Residence,VALUE
2023,Roscommon,9.6
2023,Sligo,9.9
2023,Ulster (part of),10.7
2023,Cavan,11.8
2023,Donegal,10.0
2023,Monaghan,11.0
2023,Border,10.4
2023,Midland,10.5
2023,West,10.0
2023,Dublin,10.4
2023,Mid-East,11.2
2023,Mid-West,10.1
2023,South-East,10.1
2023,South-West,9.6
