Year,Area of Residence,VALUE,CountyName,BirthRate
2020,Sligo,11.1,Sligo,11.1
2020,Cavan,12.9,Cavan,12.9
2020,Donegal,10.4,Donegal,10.4
2020,Monaghan,12.0,Monaghan,12.0
2021,Carlow,12.6,Carlow,12.6
2021,Kildare,12.7,Kildare,12.7
2021,Kilkenny,10.6,Kilkenny,10.6
2021,Laois,11.8,Laois,11.8
2021,Longford,12.6,Longford,12.6
2021,Louth,12.1,Louth,12.1
2021,Meath,13.2,Meath,13.2
2021,Offaly,11.6,Offaly,11.6
2021,Westmeath,13.0,Westmeath,13.0
2021,Wexford,11.4,Wexford,11.4
2021,Wicklow,11.7,Wicklow,11.7
2021,Clare,11.0,Clare,11.0
2021,Cork City,10.3,Cork,10.3
2021,Cork County,12.2,Cork,12.2
2021,Kerry,11.0,Kerry,11.0
2021,Limerick City,12.5,Limerick,12.5
2021,Limerick County,11.4,Limerick,11.4
2021,Tipperary,12.1,Tipperary,12.1
2021,Waterford City,12.8,Waterford,12.8
2021,Waterford County,10.2,Waterford,10.2
2021,Galway City,10.7,Galway,10.7
2021,Galway County,12.6,Galway,12.6
2021,Leitrim,12.1,Leitrim,12.1
2021,Mayo,11.0,Mayo,11.0
2021,Roscommon,11.3,Roscommon,11.3
2021,Sligo,11.4,Sligo,11.4
2021,Cavan,12.2,Cavan,12.2
2021,Donegal,10.4,Donegal,10.4
2021,Monaghan,13.1,Monaghan,13.1
2022,Carlow,11.6,Carlow,11.6
2022,Kildare,11.2,Kildare,11.2
2022,Kilkenny,9.7,Kilkenny,9.7
2022,Laois,10.1,Laois,10.1
2022,Longford,11.0,Longford,11.0
2022,Louth,11.0,Louth,11.0
2022,Meath,11.5,Meath,11.5
2022,Offaly,9.9,Offaly,9.9
2022,Westmeath,11.3,Westmeath,11.3
2022,Wexford,10.5,Wexford,10.5
2022,Wicklow,10.2,Wicklow,10.2
2022,Clare,9.6,Clare,9.6
2022,Cork City,8.7,Cork,8.7
2022,Cork County,10.5,Cork,10.5
2022,Kerry,9.2,Kerry,9.2
2022,Limerick City,11.9,Limerick,11.9
2022,Limerick County,10.4,Limerick,10.4
2022,Tipperary,10.1,Tipperary,10.1
2022,Waterford City,12.4,Waterford,12.4
2022,Waterford County,9.5,Waterford,9.5
2022,Galway City,8.4,Galway,8.4
2022,Galway County,11.5,Galway,11.5
2022,Leitrim,11.0,Leitrim,11.0
2022,Mayo,10.0,Mayo,10.0
2022,Roscommon,9.8,Roscommon,9.8
2022,Sligo,9.5,Sligo,9.5
2022,Cavan,12.1,Cavan,12.1
2022,Donegal,9.8,Donegal,9.8
2022,Monaghan,10.5,Monaghan,10.5
2023,Carlow,10.4,Carlow,10.4
2023,Kildare,11.9,Kildare,11.9
2023,Kilkenny,9.4,Kilkenny,9.4
2023,Laois,10.2,Laois,10.2
2023,Longford,11.2,Longford,11.2
2023,Louth,10.9,Louth,10.9
2023,Meath,11.8,Meath,11.8
2023,Offaly,10.0,Offaly,10.0
2023,Westmeath,11.1,Westmeath,11.1
2023,Wexford,10.6,Wexford,10.6
2023,Wicklow,9.8,Wicklow,9.8
2023,Clare,9.4,Clare,9.4
2023,Cork City,9.1,Cork,9.1
2023,Cork County,10.0,Cork,10.0
2023,Kerry,8.8,Kerry,8.8
2023,Limerick City,12.1,Limerick,12.1
2023,Limerick County,10.0,Limerick,10.0
2023,Tipperary,9.9,Tipperary,9.9
2023,Waterford City,12.1,Waterford,12.1
2023,Waterford County,8.6,Waterford,8.6
2023,Galway City,8.7,Galway,8.7
2023,Galway County,11.0,Galway,11.0
2023,Leitrim,9.3,Leitrim,9.3
2023,Mayo,9.5,Mayo,9.5
2023,Roscommon,9.6,Roscommon,9.6
2023,Sligo,9.9,Sligo,9.9
2023,Cavan,11.8,Cavan,11.8
2023,Donegal,10.0,Donegal,10.0
2023,Monaghan,11.0,Monaghan,11.0
